iter	Passed	Remaining
0	51	51170
1	56	28116
2	61	20369
3	65	16349
4	69	13799
5	71	11903
6	76	10826
7	79	9836
8	82	9065
9	86	8533
10	90	8131
11	93	7725
12	96	7349
13	100	7055
14	104	6881
15	109	6713
16	112	6514
17	116	6347
18	120	6214
19	124	6113
20	128	5991
21	132	5896
22	136	5801
23	140	5708
24	144	5624
25	148	5561
26	151	5458
27	155	5390
28	158	5313
29	162	5263
30	166	5211
31	171	5173
32	174	5121
33	178	5070
34	182	5028
35	185	4962
36	189	4919
37	193	4897
38	197	4875
39	201	4841
40	205	4803
41	209	4775
42	213	4744
43	217	4719
44	221	4701
45	225	4670
46	229	4650
47	232	4619
48	236	4594
49	243	4623
50	248	4621
51	252	4606
52	256	4589
53	261	4577
54	266	4570
55	268	4533
56	273	4519
57	277	4504
58	282	4507
59	290	4553
60	295	4556
61	301	4556
62	306	4555
63	311	4555
64	318	4576
65	327	4640
66	333	4644
67	337	4623
68	341	4612
69	347	4612
70	351	4593
71	355	4575
72	359	4564
73	364	4555
74	367	4537
75	371	4520
76	375	4505
77	379	4488
78	384	4477
79	387	4460
80	391	4447
81	396	4437
82	400	4422
83	404	4405
84	408	4392
85	412	4381
86	417	4382
87	422	4376
88	426	4366
89	430	4354
90	435	4346
91	438	4332
92	443	4327
93	448	4319
94	452	4306
95	456	4301
96	461	4296
97	465	4285
98	469	4273
99	473	4265
100	478	4262
101	482	4251
102	486	4238
103	493	4252
104	497	4242
105	502	4234
106	506	4227
107	510	4219
108	515	4211
109	519	4204
110	522	4188
111	527	4182
112	531	4174
113	536	4170
114	543	4181
115	551	4206
116	557	4204
117	561	4196
118	565	4185
119	569	4173
120	576	4188
121	580	4180
122	584	4167
123	588	4156
124	593	4151
125	597	4142
126	601	4133
127	605	4124
128	608	4108
129	612	4101
130	617	4093
131	621	4083
132	625	4075
133	629	4068
134	633	4060
135	637	4051
136	640	4036
137	645	4030
138	649	4021
139	653	4014
140	658	4011
141	662	4005
142	666	3993
143	670	3987
144	675	3985
145	680	3979
146	683	3969
147	688	3961
148	693	3960
149	699	3965
150	704	3960
151	709	3955
152	716	3964
153	723	3976
154	728	3969
155	731	3955
156	735	3947
157	739	3940
158	743	3933
159	747	3923
160	751	3918
161	756	3913
162	760	3906
163	764	3899
164	769	3892
165	773	3885
166	777	3877
167	781	3870
168	785	3864
169	791	3862
170	795	3855
171	799	3847
172	804	3848
173	808	3837
174	812	3831
175	817	3825
176	821	3819
177	825	3812
178	829	3805
179	833	3798
180	838	3793
181	842	3787
182	846	3780
183	850	3773
184	855	3768
185	859	3762
186	863	3754
187	867	3747
188	873	3746
189	877	3740
190	881	3733
191	885	3724
192	888	3713
193	892	3708
194	897	3705
195	901	3699
196	906	3696
197	911	3693
198	916	3690
199	922	3690
200	925	3680
201	930	3674
202	934	3667
203	938	3662
204	944	3664
205	949	3659
206	954	3656
207	958	3650
